%See http://www.asap.cs.nott.ac.uk/external/atr/benchmarks/index.shtml for information about the format.


%SECTION%1%;Nodes;
%FIELDS%;node_id;x;y;specification;
;N0;25.2803767;51.556605;runway;
;N1;25.2418524;51.573557;runway;
;N2;25.2485133;51.568664;;
;N3;25.2420698;51.571514;;
;N4;25.2417437;51.571909;;
;N5;25.241604;51.572398;;
;N6;25.2416972;51.572939;;
;N7;25.2418524;51.573213;;
;N8;25.2422095;51.573368;runway;
;N11;25.2725377;51.558262;;
;N12;25.2735079;51.559566;runway;
;N13;25.2728739;51.558398;;
;N15;25.2514111;51.569357;runway;
;N16;25.2507358;51.567675;;
;N18;25.2476594;51.570982;runway;
;N19;25.2470539;51.569282;;
;N22;25.2456798;51.571866;runway;
;N23;25.2450587;51.570184;;
;N34;25.263402;51.562081;;
;N35;25.2631071;51.56263;;
;N36;25.2624473;51.563686;;
;N37;25.2616323;51.564587;;
;N38;25.2610113;51.56512;runway;
;N39;25.2742547;51.559244;runway;
;N41;25.2667355;51.560589;;
;N42;25.2673734;51.562292;runway;
;N43;25.2623233;51.564537;runway;
;N45;25.2625434;51.565053;;
;N46;25.2662841;51.565401;;
;N47;25.2601159;51.566113;;
;N48;25.2597744;51.56625;;
;N49;25.259495;51.566001;;
;N50;25.2594173;51.565821;runway;
;N62;25.2582653;51.568341;;
;N63;25.2710077;51.563642;;
;N64;25.2705551;51.563558;;
;N65;25.2667695;51.565191;;
;N66;25.2653901;51.573104;;
;N67;25.2689217;51.571184;;
;N68;25.2687408;51.571637;;
;N69;25.2688766;51.571444;;
;N70;25.2711047;51.563803;;
;N71;25.2631405;51.5668;;
;N72;25.2707942;51.563534;;
;N73;25.2718518;51.56612;;
;N74;25.2629271;51.566205;;
;N76;25.2682115;51.564534;;
;N77;25.2520391;51.571045;;
;N78;25.2716514;51.56639;;
;N79;25.2717776;51.566283;;
;N80;25.2718324;51.565938;;
;N81;25.2678191;51.568064;;
;N82;25.273162;51.558669;;
;E10;25.2707605;51.565508;gate;
;N84;25.2711479;51.56661;;
;N85;25.2705254;51.566882;;
;N86;25.2698884;51.56716;;
;N87;25.269266;51.567432;;
;N88;25.2686319;51.567709;;
;N89;25.2715674;51.56516;;
;N90;25.2673963;51.566907;;
;E6;25.2682074;51.566567;gate;
;E7;25.2688352;51.566304;gate;
;E8;25.2694926;51.566029;gate;
;E9;25.2701294;51.565762;gate;
;N91;25.2713657;51.564568;;
;N92;25.2672259;51.56644;;
;E1;25.2705231;51.564949;gate;
;N93;25.2701023;51.563747;;
;E2;25.2699196;51.565222;gate;
;N94;25.2694784;51.564006;;
;E3;25.2692838;51.56551;gate;
;E4;25.268648;51.565797;gate;
;E5;25.2680173;51.566083;gate;
;N95;25.268843;51.564271;;
;N96;25.2675718;51.564826;;
;N97;25.2655609;51.565722;;
;N98;25.2679259;51.571994;;
;E11;25.2659346;51.566713;gate;
;E12;25.2662112;51.567447;gate;
;E13;25.2664848;51.568172;gate;
;E15;25.2670445;51.569656;gate;
;E16;25.2673219;51.570392;gate;
;E17;25.2675985;51.571126;gate;
;E14;25.266759;51.568899;gate;
;N100;25.2671259;51.566167;;
;N101;25.267663;51.567637;;
;N102;25.2679334;51.568387;;
;N103;25.2681978;51.569136;;
;N104;25.2684538;51.56986;;
;N105;25.2687213;51.570617;;
;N106;25.2642542;51.566304;;
;N107;25.2665665;51.572589;;
;E18;25.2646121;51.567277;gate;
;E19;25.2648891;51.56803;gate;
;E20;25.2651613;51.56877;gate;
;E21;25.265422;51.569478;gate;
;E24;25.2662297;51.571674;gate;
;E22;25.2657046;51.570247;gate;
;E23;25.2659637;51.570951;gate;
;N108;25.265071;51.572184;;
;N109;25.2648188;51.571477;;
;N110;25.2645542;51.57074;;
;N111;25.2642912;51.570007;;
;N112;25.2640149;51.569237;;
;N113;25.2637531;51.568507;;
;N114;25.2634921;51.56778;;
;N115;25.263564;51.573847;;
;E27;25.2631963;51.572795;gate;
;E26;25.2637955;51.572516;gate;
;E25;25.264392;51.572238;gate;
;N119;25.2647813;51.573352;;
;N120;25.2641748;51.573598;;
;N121;25.2648479;51.573325;;
;E28;25.2652016;51.574335;gate;
;N123;25.2661486;51.575051;;
;E31;25.2655066;51.57537;gate;
;N125;25.266017;51.574714;;
;E30;25.2653829;51.575012;gate;
;N127;25.2658854;51.574376;;
;E29;25.265271;51.57466;gate;
;A18;25.2593845;51.562366;gate;
;N131;25.2598615;51.563645;;
;A17;25.2600316;51.56208;gate;
;N133;25.2604653;51.563378;;
;A16;25.26062;51.561821;gate;
;N135;25.2610758;51.563109;;
;A15;25.2612238;51.561554;gate;
;N137;25.2617079;51.562829;;
;A14;25.261806;51.561297;gate;
;N139;25.2622833;51.562575;;
;A13;25.2624148;51.561029;gate;
;N141;25.262868;51.562317;;
;A12;25.2630303;51.560757;gate;
;N143;25.2634642;51.562053;;
;N144;25.2640371;51.561797;;
;N145;25.2631804;51.559347;;
;N146;25.2652244;51.558494;;
;N147;25.2661217;51.560864;;
;W5;25.2629035;51.558605;gate;
;W4;25.2634573;51.558325;gate;
;N150;25.2637358;51.559115;;
;W3;25.264011;51.558084;gate;
;N152;25.2642814;51.558888;;
;W2;25.2645411;51.557966;gate;
;N154;25.264782;51.558679;;
;W1;25.2650359;51.557817;gate;
;N156;25.2636616;51.559146;;
;W6;25.2639521;51.559966;gate;
;N158;25.2640485;51.558985;;
;W7;25.2643173;51.559816;gate;
;A11;25.2642161;51.560499;gate;
;N161;25.2646065;51.561542;;
;A10;25.2646873;51.560251;gate;
;N163;25.2651043;51.561319;;
;A9;25.2651939;51.560056;gate;
;N165;25.2655859;51.561104;;
;A6;25.2698531;51.557745;gate;
;N167;25.2703189;51.558991;;
;A5;25.2704597;51.557446;gate;
;N169;25.2709174;51.558748;;
;A4;25.2710959;51.557185;gate;
;N171;25.2715211;51.558503;;
;A3;25.2716908;51.556931;gate;
;N173;25.2721628;51.558275;;
;A2;25.2722857;51.556658;gate;
;A1;25.2728747;51.556364;gate;
;N176;25.2733871;51.557713;;
;A1N;25.2742411;51.557328;gate;
;N177;25.27278;51.55806;;
;N178;25.2424878;51.5713283;;
;N179;25.251094;51.5675172;;
;N180;25.25039;51.5678293;;
;N181;25.2509305;51.5681604;;
;N182;25.2525233;51.5708348;;
;N183;25.2518802;51.5706181;;
;N184;25.2593915;51.5638528;;
;N185;25.265925;51.5603447;;
;N186;25.2653942;51.5589429;;
;N187;25.2633349;51.5597896;;
;N188;25.2669998;51.5612952;;
;N189;25.2672023;51.5603804;;
;N190;25.2700824;51.5590911;;
;N191;25.2680402;51.5640766;;
;N192;25.2656895;51.5653458;;
;N193;25.2636594;51.5665691;;
;N194;25.2623089;51.5664885;;
;N195;25.2660213;51.5728284;;
;N196;25.2639521;51.561542;;
;N200;25.27333495;51.5591175;;
;N201;25.27121925;51.5586255;;
;N202;25.27061815;51.5588695;;
;N203;25.2664286;51.5607265;;
;N204;25.2658538;51.560984;;
;N205;25.2643218;51.5616695;;
;N206;25.26375065;51.561925;;
;N207;25.263135;51.562199;;
;N208;25.26257565;51.562446;;
;N209;25.2619956;51.562702;;
;N210;25.26139185;51.562969;;
;N211;25.26077055;51.5632435;;
;N212;25.2601634;51.5635115;;
;N213;25.2515820882;51.5673016471;;
;N214;25.2520701765;51.5670860941;;
;N215;25.2525582647;51.5668705412;;
;N216;25.2530463529;51.5666549882;;
;N217;25.2535344412;51.5664394353;;
;N218;25.2540225294;51.5662238824;;
;N219;25.2545106176;51.5660083294;;
;N220;25.2549987059;51.5657927765;;
;N221;25.2554867941;51.5655772235;;
;N222;25.2559748824;51.5653616706;;
;N223;25.2564629706;51.5651461176;;
;N224;25.2569510588;51.5649305647;;
;N225;25.2574391471;51.5647150118;;
;N226;25.2579272353;51.5644994588;;
;N227;25.2584153235;51.5642839059;;
;N228;25.2589034118;51.5640683529;;
;N229;25.2475403667;51.569076;;
;N230;25.2480268333;51.56887;;
;N231;25.2455575;51.5699585;;
;N232;25.2460563;51.569733;;
;N233;25.2465551;51.5695075;;
;N234;25.2429162833;51.5711375833;;
;N235;25.2433447667;51.5709468667;;
;N236;25.24377325;51.57075615;;
;N237;25.2442017333;51.5705654333;;
;N238;25.2446302167;51.5703747167;;
;N239;25.247205275;51.569707;;
;N240;25.24735665;51.570132;;
;N241;25.247508025;51.570557;;
;N242;25.245213975;51.5706045;;
;N243;25.24536925;51.571025;;
;N244;25.245524525;51.5714455;;
;N245;25.26325455;51.5623555;;
;N246;25.2626672333;51.563334;;
;N247;25.2628871667;51.562982;;
;N248;25.2619039667;51.5642866667;;
;N249;25.2621756333;51.5639863333;;
;N250;25.2613218;51.5648535;;
;N251;25.2627992;51.565821;;
;N252;25.2626713;51.565437;;
;N253;25.2630338;51.5665025;;
;N254;25.2633163;51.56729;;
;N255;25.2636226;51.5681435;;
;N256;25.263884;51.568872;;
;N257;25.26415305;51.569622;;
;N258;25.2644227;51.5703735;;
;N259;25.2646865;51.5711085;;
;N260;25.2671866;51.5617936;;
;N261;25.26516515;51.565297;;
;N262;25.2646408;51.5652482;;
;N263;25.26411645;51.5651994;;
;N264;25.2635921;51.5651506;;
;N265;25.26306775;51.5651018;;
;N266;25.2604143667;51.565782;;
;N267;25.2607128333;51.565451;;
;N268;25.26717065;51.5650085;;
;N269;25.26789165;51.56468;;
;N270;25.26852725;51.5644025;;
;N271;25.2691607;51.5641385;;
;N272;25.26979035;51.5638765;;
;N273;25.2712352;51.5641855;;
;N274;25.27146655;51.564864;;
;N275;25.2716999;51.565549;;
;N276;25.27083665;51.566746;;
;N277;25.2702069;51.567021;;
;N278;25.2695772;51.567296;;
;N279;25.26894895;51.5675705;;
;N280;25.2682255;51.5678865;;
;N281;25.2680656;51.5687615;;
;N282;25.2683258;51.569498;;
;N283;25.26858755;51.5702385;;
;N284;25.2688215;51.5709005;;
;N285;25.26833335;51.5718155;;
;N286;25.2670196333;51.5723906667;;
;N287;25.2674727667;51.5721923333;;
;N288;25.2662939;51.5727087;;
;N289;25.26523055;51.572644;;
;N290;25.26752965;51.567272;;
;N291;25.2669477;51.565679;;
;N292;25.26339995;51.56668455;;
;N293;25.2651253333;51.565916;;
;N294;25.2646897667;51.56611;;
;N295;25.2659225;51.5655615;;
;N296;25.2618596111;51.5666943333;;
;N297;25.2614103222;51.5669001667;;
;N298;25.2609610333;51.567106;;
;N299;25.2605117444;51.5673118333;;
;N300;25.2600624556;51.5675176667;;
;N301;25.2596131667;51.5677235;;
;N302;25.2591638778;51.5679293333;;
;N303;25.2587145889;51.5681351667;;
;N304;25.2577868;51.5685488167;;
;N305;25.2573083;51.5687566333;;
;N306;25.2568298;51.56896445;;
;N307;25.2563513;51.5691722667;;
;N308;25.2558728;51.5693800833;;
;N309;25.2553943;51.5695879;;
;N310;25.2549158;51.5697957167;;
;N311;25.2544373;51.5700035333;;
;N312;25.2539588;51.57021135;;
;N313;25.2534803;51.5704191667;;
;N314;25.2530018;51.5706269833;;
;N315;25.2515674667;51.5697773667;;
;N316;25.2517238333;51.5701977333;;
;N317;25.2510907;51.5685592667;;
;N318;25.2512509;51.5689581333;;
;N319;25.2709542;51.566059;;
;N320;25.2703934;51.5665086667;;
;N321;25.2702614;51.5661353333;;
;N322;25.2697564667;51.566783;;
;N323;25.2696245333;51.566406;;
;N324;25.2691224;51.567056;;
;N325;25.2689788;51.56668;;
;N326;25.2684904;51.5673283333;;
;N327;25.2683489;51.5669476667;;
;N328;25.2702425667;51.5641476667;;
;N329;25.2703828333;51.5645483333;;
;N330;25.2696254667;51.5644113333;;
